Graph Name,Density,Node Count,Edge Count,DFS Time (ms),BFS Time (ms),Start Node
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_13.txt,0.006336033937962629,1419,12749,5.021,5.227,1355
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_482.txt,0.006870205078669218,1313,11835,4.698,5.081,48
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_154.txt,0.0067707512679459165,1324,11860,4.761,4.786,943
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_203.txt,0.006776592282820171,1317,11745,4.779,5.174,894
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_108.txt,0.006228283530229326,1440,12906,5.406,5.473,116
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_391.txt,0.008859139487063432,1013,9082,3.087,3.866,886
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_117.txt,0.006299034102109206,1425,12782,4.66,4.968,1120
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_202.txt,0.006126028913846612,1463,13103,4.386,4.534,708
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_109.txt,0.005996748772271493,1494,13376,5.999,6.23,653
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_390.txt,0.006730286175147391,1333,11950,5.061,5.147,266
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_116.txt,0.007118989451071769,1263,11347,4.086,4.302,316
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_396.txt,0.008674966418274463,1033,9248,3.774,3.849,519
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_110.txt,0.008234675085503814,1086,9703,3.974,4.281,1048
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_397.txt,0.006532607133159769,1371,12270,5.425,5.636,496
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_111.txt,0.008299866131191432,1080,9672,3.484,3.708,647
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_394.txt,0.007123225991680295,1258,11264,4.555,4.906,365
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_112.txt,0.008250153465804455,1091,9811,3.811,3.738,583
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_395.txt,0.007809396445325885,1149,10301,4.294,3.997,893
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_113.txt,0.006473784255532938,1390,12499,4.164,4.73,1127
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_392.txt,0.008293181635868053,1083,9718,4.216,4.427,1026
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_114.txt,0.006485126996267643,1384,12413,4.912,5.166,712
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_115.txt,0.006113038288666331,1465,13111,5.323,5.216,1334
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_393.txt,0.006890008985171515,1302,11671,3.806,4.186,441
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_120.txt,0.007707386616769135,1161,10380,4.334,4.338,876
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_121.txt,0.007230021605312534,1239,11090,4.329,4.709,592
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_122.txt,0.007777053769668887,1152,10312,3.511,4.259,414
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_123.txt,0.006655111050497896,1349,12102,5.257,5.284,1017
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_124.txt,0.0064603526777229645,1392,12509,5.162,5.593,515
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_125.txt,0.006186917291821195,1460,13179,5.38,5.783,1200
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_126.txt,0.0067510448112993735,1329,11915,5.341,5.368,323
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_438.txt,0.006860221378347946,1307,11710,4.765,4.965,389
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_127.txt,0.006603009880131475,1359,12186,5.279,4.865,748
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_439.txt,0.006609791084462754,1353,12091,4.81,5.747,720
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_128.txt,0.007286137048143361,1235,11104,4.503,4.124,171
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_436.txt,0.008703715631263284,1028,9189,4.014,3.65,3
