"Graph Name","Density","Node Count","Edge Count","DFS Time (ms)","BFS Time (ms)","Start Node","BFS_Mean","DFS_Mean","Diff","Log_Diff","Log_Ratio","Ratio","Speedup"
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_27.txt",0.00695449269609877,1290,11564,1.32,1.484,235,1.4478,1.2958,-0.152,-0.110916897843184,-0.110916897843184,0.89501312335958,1.11730205278592
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_314.txt",0.0087890625,1024,9207,1.041,1.185,380,1.159,1.0328,-0.1262,-0.115284003807319,-0.115284003807319,0.891113028472821,1.12219209914795
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_441.txt",0.00676238879539705,1333,12007,1.334,1.518,75,1.5008,1.3282,-0.1726,-0.122173657145347,-0.122173657145347,0.884994669509595,1.12995030868845
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_305.txt",0.00795597952609013,1130,10150,1.138,1.311,741,1.2834,1.1298,-0.1536,-0.127472180425253,-0.127472180425253,0.880317905563347,1.13595326606479
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_453.txt",0.00623936225222082,1439,12911,1.426,1.642,811,1.625,1.4248,-0.2002,-0.131476362788386,-0.131476362788386,0.8768,1.14051094890511
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_456.txt",0.00858783767463206,1038,9244,1.048,1.182,48,1.168,1.0418,-0.1262,-0.114342898077081,-0.114342898077081,0.891952054794521,1.1211364945287
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_275.txt",0.00798580301685892,1128,10152,1.135,1.289,589,1.2732,1.125,-0.1482,-0.123750380769417,-0.123750380769417,0.883600377002828,1.13173333333333
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_431.txt",0.00870032424148983,1035,9311,1.038,1.192,171,1.1748,1.0364,-0.1384,-0.12534475063651,-0.12534475063651,0.882192713653388,1.13353917406407
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_396.txt",0.00783377642954462,1139,10154,1.14,1.314,332,1.2826,1.1318,-0.1508,-0.125079982006339,-0.125079982006339,0.882426321534383,1.13323908817812
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_435.txt",0.0070738997965463,1264,11293,1.268,1.446,1017,1.4162,1.263,-0.1532,-0.114487384867182,-0.114487384867182,0.891823188815139,1.12129849564529
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_291.txt",0.00698749280672489,1284,11511,1.291,1.465,298,1.4422,1.2822,-0.16,-0.117592372929502,-0.117592372929502,0.889058383025933,1.12478552487911
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_446.txt",0.00843040700342405,1065,9553,1.073,1.226,815,1.204,1.065,-0.139,-0.122674547725241,-0.122674547725241,0.884551495016611,1.13051643192488
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_200.txt",0.00717894278611715,1254,11280,1.256,1.421,1151,1.4058,1.2472,-0.1586,-0.119705496998238,-0.119705496998238,0.88718167591407,1.12716484926235
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_196.txt",0.00717703349282297,1255,11295,1.249,1.428,863,1.419,1.2454,-0.1736,-0.130495634721691,-0.130495634721691,0.877660324171952,1.1393929661153
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_293.txt",0.00886796478026454,1016,9145,1.026,1.17,611,1.1526,1.022,-0.1306,-0.120258768238916,-0.120258768238916,0.886690959569669,1.12778864970646
