Graph Name,Density,Node Count,Edge Count,DFS Time (ms),BFS Time (ms),Start Node
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_198.txt,0.006301933377019885,1423,12752,1.425,1.609,998
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_8.txt,0.0077310999375204545,1160,10394,1.154,1.315,658
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_439.txt,0.008496779951104616,1058,9502,1.064,1.2,1017
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_425.txt,0.008107211873806502,1107,9926,1.095,1.267,538
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_280.txt,0.007045661845460806,1270,11355,1.265,1.441,934
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_383.txt,0.0060253378744820705,1488,13332,1.475,1.674,1445
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_394.txt,0.00847864600663687,1055,9428,1.052,1.203,235
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_231.txt,0.007803104780630558,1146,10239,1.153,1.335,666
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_365.txt,0.0060307320238839794,1487,13326,1.484,1.676,252
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_177.txt,0.0064546828755027656,1397,12588,1.401,1.593,403
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_498.txt,0.00600437023826496,1494,13393,1.472,1.711,660
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_316.txt,0.006707371773307318,1336,11963,1.329,1.518,1079
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_199.txt,0.006714735914962307,1339,12030,1.33,1.528,107
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_389.txt,0.006359402472789095,1413,12688,1.403,1.627,101
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_168.txt,0.006806120339099869,1320,11850,1.314,1.525,668
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_225.txt,0.008759527439024391,1025,9194,1.051,1.196,99
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_43.txt,0.00783440515934615,1148,10316,1.167,1.306,202
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_465.txt,0.008562366906800779,1051,9449,1.063,1.213,854
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_301.txt,0.00704763742707421,1272,11394,1.279,1.444,38
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_45.txt,0.0084225175946234,1066,9562,1.068,1.23,207
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_412.txt,0.008114679514909231,1099,9792,1.104,1.291,170
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_123.txt,0.008347394280618623,1070,9548,1.107,1.222,213
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_464.txt,0.006753322076863476,1337,12063,1.352,1.543,779
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_182.txt,0.0069301857183017394,1299,11685,1.299,1.499,1255
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_27.txt,0.006954492696098773,1290,11564,1.32,1.484,235
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_314.txt,0.0087890625,1024,9207,1.041,1.185,380
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_441.txt,0.006762388795397047,1333,12007,1.334,1.518,75
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_305.txt,0.007955979526090126,1130,10150,1.138,1.311,741
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_453.txt,0.006239362252220819,1439,12911,1.426,1.642,811
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_456.txt,0.008587837674632063,1038,9244,1.048,1.182,48
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_275.txt,0.007985803016858917,1128,10152,1.135,1.289,589
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_431.txt,0.008700324241489829,1035,9311,1.038,1.192,171
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_396.txt,0.007833776429544616,1139,10154,1.14,1.314,332
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_435.txt,0.007073899796546298,1264,11293,1.268,1.446,1017
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_291.txt,0.006987492806724893,1284,11511,1.291,1.465,298
