Graph Name,Density,Node Count,Edge Count,DFS Time (ms),BFS Time (ms),Start Node
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_198.txt,0.006301933377019885,1423,12752,1.417,1.588,998
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_8.txt,0.0077310999375204545,1160,10394,1.152,1.294,658
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_439.txt,0.008496779951104616,1058,9502,1.066,1.196,1017
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_425.txt,0.008107211873806502,1107,9926,1.102,1.248,538
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_280.txt,0.007045661845460806,1270,11355,1.255,1.418,934
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_383.txt,0.0060253378744820705,1488,13332,1.489,1.678,1445
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_394.txt,0.00847864600663687,1055,9428,1.043,1.186,235
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_231.txt,0.007803104780630558,1146,10239,1.138,1.297,666
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_365.txt,0.0060307320238839794,1487,13326,1.47,1.672,252
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_177.txt,0.0064546828755027656,1397,12588,1.398,1.563,403
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_498.txt,0.00600437023826496,1494,13393,1.48,1.655,660
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_316.txt,0.006707371773307318,1336,11963,1.331,1.484,1079
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_199.txt,0.006714735914962307,1339,12030,1.332,1.503,107
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_389.txt,0.006359402472789095,1413,12688,1.396,1.578,101
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_168.txt,0.006806120339099869,1320,11850,1.312,1.499,668
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_225.txt,0.008759527439024391,1025,9194,1.029,1.157,99
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_43.txt,0.00783440515934615,1148,10316,1.148,1.289,202
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_465.txt,0.008562366906800779,1051,9449,1.056,1.201,854
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_301.txt,0.00704763742707421,1272,11394,1.269,1.428,38
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_45.txt,0.0084225175946234,1066,9562,1.064,1.205,207
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_412.txt,0.008114679514909231,1099,9792,1.111,1.25,170
/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_123.txt,0.008347394280618623,1070,9548,1.058,1.203,213
